Dato;Time;Elspot Price, DKK/MWh;
;;DK-West;DK-East
2012-01-01;1;187.37;238.13
2012-01-01;2;176.07;222.97
2012-01-01;3;215.91;215.91
2012-01-01;4;212.20;212.20
2012-01-01;5;206.17;206.17
2012-01-01;6;205.58;205.58
2012-01-01;7;192.50;192.50
2012-01-01;8;192.50;192.50
2012-01-01;9;181.35;181.35
2012-01-01;10;181.35;181.35
2012-01-01;11;199.11;199.11
2012-01-01;12;215.91;215.91
2012-01-01;13;217.77;217.77
2012-01-01;14;215.61;215.61
2012-01-01;15;217.10;217.10
2012-01-01;16;222.53;222.53
2012-01-01;17;230.78;230.78
2012-01-01;18;245.27;245.27
2012-01-01;19;251.07;251.07
2012-01-01;20;245.57;245.57
2012-01-01;21;229.81;229.81
2012-01-01;22;218.36;218.36
2012-01-01;23;208.85;208.85
2012-01-01;24;182.99;182.99
2012-01-02;1;218.96;218.96
2012-01-02;2;212.86;212.86
2012-01-02;3;206.03;206.03
2012-01-02;4;206.55;206.55
2012-01-02;5;214.57;214.57
2012-01-02;6;211.90;224.09
2012-01-02;7;207.74;237.69
2012-01-02;8;284.74;284.74
2012-01-02;9;285.70;285.70
2012-01-02;10;282.13;297.30
2012-01-02;11;289.49;328.51
2012-01-02;12;300.86;334.24
2012-01-02;13;260.88;296.85
2012-01-02;14;263.55;263.55
2012-01-02;15;269.20;269.20
2012-01-02;16;278.79;278.79
2012-01-02;17;280.35;334.09
2012-01-02;18;282.28;475.67
2012-01-02;19;265.86;265.86
2012-01-02;20;259.69;259.69
2012-01-02;21;253.15;253.15
2012-01-02;22;247.72;247.72
2012-01-02;23;238.28;238.28
2012-01-02;24;219.18;219.18
2012-01-03;1;215.54;215.54
2012-01-03;2;189.83;189.83
2012-01-03;3;162.03;162.03
2012-01-03;4;147.16;147.16
2012-01-03;5;141.96;141.96
2012-01-03;6;180.54;215.62
2012-01-03;7;246.68;239.48
2012-01-03;8;275.30;275.30
2012-01-03;9;250.48;250.48
2012-01-03;10;248.77;248.77
2012-01-03;11;248.69;248.69
2012-01-03;12;248.17;248.17
2012-01-03;13;248.32;248.32
2012-01-03;14;248.62;248.62
2012-01-03;15;248.54;248.54
2012-01-03;16;250.70;250.70
2012-01-03;17;252.41;252.41
2012-01-03;18;251.22;251.22
2012-01-03;19;249.73;249.73
2012-01-03;20;245.72;245.72
2012-01-03;21;251.00;238.95
2012-01-03;22;214.80;226.91
2012-01-03;23;214.50;214.50
2012-01-03;24;118.92;118.92
2012-01-04;1;37.91;37.91
2012-01-04;2;0.52;0.52
2012-01-04;3;0.30;0.30
2012-01-04;4;0.67;0.67
2012-01-04;5;74.34;74.34
2012-01-04;6;81.78;81.78
2012-01-04;7;154.11;214.10
2012-01-04;8;294.99;235.00
2012-01-04;9;244.96;244.96
2012-01-04;10;244.44;244.44
2012-01-04;11;246.67;246.67
2012-01-04;12;247.26;247.26
2012-01-04;13;245.70;245.70
2012-01-04;14;245.85;245.85
2012-01-04;15;247.86;247.86
2012-01-04;16;249.12;249.12
2012-01-04;17;251.72;251.72
2012-01-04;18;252.47;252.47
2012-01-04;19;250.53;250.53
2012-01-04;20;247.11;247.11
2012-01-04;21;241.76;241.76
2012-01-04;22;234.18;234.18
2012-01-04;23;227.26;227.26
2012-01-04;24;201.62;201.62
2012-01-05;1;52.05;52.05
2012-01-05;2;-0.52;-0.52
2012-01-05;3;-314.53;-314.53
2012-01-05;4;-349.48;-349.48
2012-01-05;5;-349.11;-349.11
2012-01-05;6;-20.08;128.64
2012-01-05;7;125.67;224.41
2012-01-05;8;265.31;247.46
2012-01-05;9;260.62;260.62
2012-01-05;10;261.74;261.74
2012-01-05;11;265.38;265.38
2012-01-05;12;264.94;264.94
2012-01-05;13;260.85;260.85
2012-01-05;14;258.77;258.77
2012-01-05;15;262.34;262.34
2012-01-05;16;268.95;268.95
2012-01-05;17;278.99;278.99
2012-01-05;18;284.79;284.79
2012-01-05;19;260.03;260.03
2012-01-05;20;251.78;251.78
2012-01-05;21;246.05;246.05
2012-01-05;22;232.44;232.44
2012-01-05;23;219.80;219.80
2012-01-05;24;141.43;212.81
2012-01-06;1;214.06;214.06
2012-01-06;2;155.69;155.69
2012-01-06;3;119.33;119.33
2012-01-06;4;121.71;121.71
2012-01-06;5;153.61;153.61
2012-01-06;6;160.45;160.45
2012-01-06;7;173.54;214.06
2012-01-06;8;271.38;230.86
2012-01-06;9;289.75;289.75
2012-01-06;10;287.74;287.74
2012-01-06;11;290.71;290.71
2012-01-06;12;332.05;332.05
2012-01-06;13;300.60;300.60
2012-01-06;14;274.88;274.88
2012-01-06;15;259.56;259.56
2012-01-06;16;263.72;263.72
2012-01-06;17;327.89;327.89
2012-01-06;18;390.05;390.05
2012-01-06;19;364.39;364.39
2012-01-06;20;332.05;332.05
2012-01-06;21;255.47;255.47
2012-01-06;22;249.15;249.15
2012-01-06;23;241.19;241.19
2012-01-06;24;232.94;232.94
2012-01-07;1;244.96;244.96
2012-01-07;2;227.79;227.79
2012-01-07;3;209.65;209.65
2012-01-07;4;148.69;148.69
2012-01-07;5;133.08;133.08
2012-01-07;6;112.19;112.19
2012-01-07;7;205.34;205.34
2012-01-07;8;198.80;220.06
2012-01-07;9;260.06;239.91
