Year;Month;Day;Hour;Minute;Second;Irradiance;ExternalTemperature
2011;3;15;14;0;0;790,9;4,8
2011;3;15;15;0;0;691,5;5,1
2011;3;15;16;0;0;300;4,5
2011;3;15;17;0;0;52,7;3,4
2011;3;15;18;0;0;1,3;1,7
2011;3;15;19;0;0;1,3;1,2
2011;3;15;20;0;0;1,3;1,5
2011;3;15;21;0;0;1,3;1,7
2011;3;15;22;0;0;1,3;1,3
2011;3;15;23;0;0;1,3;0,8
2011;3;16;0;0;0;1,3;0,2
2011;3;16;1;0;0;1,3;-0,4
2011;3;16;2;0;0;1,3;-0,7
2011;3;16;3;0;0;1,3;-1,1
2011;3;16;4;0;0;1,3;-1,2
2011;3;16;5;0;0;1,3;-1,4
2011;3;16;6;0;0;7,6;-1,7
2011;3;16;7;0;0;114,6;-1,1
2011;3;16;8;0;0;106,3;-0,6
2011;3;16;9;0;0;128,4;-0,3
2011;3;16;10;0;0;131,3;0
2011;3;16;11;0;0;308,7;0,6
2011;3;16;12;0;0;645,7;1,7
2011;3;16;13;0;0;935,4;2,8
2011;3;16;14;0;0;813,9;3,1
2011;3;16;15;0;0;622,3;3,6
2011;3;16;16;0;0;380,4;3,9
2011;3;16;17;0;0;124,2;3,7
2011;3;16;18;0;0;6,4;2,5
2011;3;16;19;0;0;1,2;2,1
2011;3;16;20;0;0;1,2;1,6
2011;3;16;21;0;0;1,2;0,9
2011;3;16;22;0;0;1,2;0,3
2011;3;16;23;0;0;1,2;0
2011;3;17;0;0;0;1,2;-0,1
2011;3;17;1;0;0;1,2;0,3
2011;3;17;2;0;0;1,2;0,3
2011;3;17;3;0;0;1,2;0
2011;3;17;4;0;0;1,2;0,2
2011;3;17;5;0;0;1,2;0,4
2011;3;17;6;0;0;2,4;0,6
2011;3;17;7;0;0;28,9;0,8
2011;3;17;8;0;0;61,3;0,8
2011;3;17;9;0;0;114,2;1
2011;3;17;12;0;0;184,7;3,2
2011;3;17;13;0;0;178,3;2,7
2011;3;17;14;0;0;474,6;3,4
2011;3;17;15;0;0;453,8;4,3
2011;3;17;16;0;0;304,1;4,6
2011;3;17;17;0;0;67,4;4,5
2011;3;17;18;0;0;5,2;3,3
2011;3;17;19;0;0;1,2;2,6
2011;3;17;20;0;0;1,2;2,2
2011;3;17;21;0;0;1,2;1,9
2011;3;17;22;0;0;1,2;0,8
2011;3;17;23;0;0;1,2;0,9
2011;3;18;0;0;0;1,2;0,8
2011;3;18;1;0;0;1,2;0,8
2011;3;18;2;0;0;1,2;0,8
2011;3;18;3;0;0;1,2;0,6
2011;3;18;4;0;0;1,2;0,6
2011;3;18;5;0;0;1,2;0,6
2011;3;18;6;0;0;3,2;0,7
2011;3;18;7;0;0;13,2;1
2011;3;18;8;0;0;31,4;1
2011;3;18;9;0;0;40,1;1,2
2011;3;18;10;0;0;60,7;2
2011;3;18;11;0;0;75,3;2,3
2011;3;18;12;0;0;51,9;2,6
2011;3;18;13;0;0;93,7;3,3
2011;3;18;14;0;0;112,2;3,5
2011;3;18;15;0;0;107,6;3
2011;3;18;16;0;0;199,9;2,5
2011;3;18;17;0;0;79,1;2,6
